# ★飾りが ★画面まで★ 届くか★（2026-09-21）
# ★なぜ★ ... 司さん「★全く 同じように 表示できるように しろや★／★何の ために 細胞レベルまで 分析したんど★」（イ）
# ★今まで 測って いた 物★ ... `golden-uketotta-kazari3-excel-2026-09-20.tsv`
#   ＝★ファイルの 中に 残って いるか★（実Excel に 開かせて 読んだ・15項目 全部 ok）
#   ⇒★画面に 出て いるかは 1つも 測って いませんでした★
#   ⇒★「消えて いない」と「見えて いる」は 別です★
#
# ★どう 測ったか★ ... `docs/measured/hakaru-kazari-ga-gamen-made-todoku-ka.mjs`
#   ★お客さんの 道★ ＝ `#bookFileInput` に ファイルを 入れる（画面の「読み込む」と 同じ 入口）
#   ★JS で 中を 直に 作って いません★
# ★材料★ ... `%TEMP%\exally-tameshi-hiraku3.xlsx`（11725B）
#   sha256 cef5657d3c521e377a9803681d7c0b97d1d95b4dff4b102bbd35bc2f56ff615b
#   ★実Excel が COM で 作った 物★（`tsukuru-tameshi-hiraku3-kazari-to-kobore3.ps1`）
#   ★repo には 入れて いません★（`.gitignore`）⇒★だから これは 見張りでは なく 測り道具★
# ★どの ブラウザか★ ... WebKit（playwright）／1280x800
# ★絵★ ... `%TEMP%\exally-kazari-gamen.png`（109796B）
#   sha256 8bec466a79fd4b16f7658f0014003df7397a9278ec85364789bbc5792f72a4b9
#
# ★★「台に 届いた」と「画面に 描いて ある」は 別です★★
#   下の 「台」は `sheets[].data` に 在るか。
#   「絵」は ★png を 目で 見た★（★数が 緑でも 絵を 見るまで OK に しない★）
#
# 飾り	どこに 在るはず	台に 届いたか	絵で 見えるか	どこで 落ちて いるか
字(A1) 太字	cell.bold	★届かない★	★見えない★	js/book-open.js sheetToGrid が c.s を 読んで いない
字(A1) 色 赤	cell.color	★届かない★	★見えない★	同上
罫線(A1 の 周り)	cell.border	★届かない★	★見えない★	同上
罫線(B2 の 下 太さ4)	cell.border	★届かない★	★見えない★	同上
塗り(B1) 黄	cell.bgColor	★届かない★	★見えない★	同上
図形(判子) 1つ	sheets[i].objects	★届かない★	★見えない★	xl/drawings/ を 誰も 読んで いない
表示の形(B1) #,##0	cell.numFmt	届いた	見える（4）	―
表示の形(A3) 0.0%	cell.numFmt	届いた	見える（25.0%）	―
繋げたマス(A5:C5)	cell.mergeEnd	届いた	―（★未確認★）	―
列の幅(A列=30)	sheet.colW	届いた	見える（広い）	―
溢れ 縦(C1:C3)	cell.f + 先の 値	届いた	見える（1/2/3）	―
溢れ 横(E1:G1)	cell.f + 先の 値	届いた	見える（1/2/3）	―
溢れ 2次元(A10:C11)	cell.f + 先の 値	届いた	見える（1,2,3/4,5,6）	―
#
# ★★数★★ ... ★届いた 7 / 13★ ／ ★届かない 6★
#   ★届かない 6つ★ ＝ 太字 ／ 字の色 ／ 罫線 2つ ／ 塗り ／ 図形
#
# ★★因★★（コードを 読んで 数えた・2026-09-21）
#   ①`js/book-open.js:335 sheetToGrid` が 読むのは
#       `c.v`（値）／`c.f`（式）／`c.z`（表示の形）／`ws['!merges']`／`!cols`（列の幅）
#     ⇒★`c.s`（飾り）を 1度も 見て いません★
#   ②`lib/xlsx-io.js:235 readBook` も `t / v / f / z` だけ
#   ③`lib/grid-xlsx.js:261` に ★自分で 書いて あります★
#       「太字・文字色・背景色・罫線は Excel ファイルに 入りません」
#     ⇒★書く 側は 知って いた／読む 側は 誰も 書いて いなかった★
#   ④図形 ... `xl/drawings/drawing1.xml` を ★読む 所が 1つも 在りません★
#
# ★★私が 2回 数え違えました（絵が 直しました）★★
#   ㋐繋げたマス ... `sh.merges` を 見て「届かない」と 出した
#                    ⇒実際は ★マスが 持って いる★（`cell.mergeEnd`）＝★届いて いた★
#   ㋑図形 ....... `SheetObjects.形たち`（7）を 数えて「届いた」と 出した
#                    ⇒`形たち` は ★Exally が 描ける 形の 種類の 名簿★
#                    ⇒★開いた ファイルの 図形では ありません★
#                    ⇒★絵に 判子が 1つも 無く そこで 気づきました★
#   ⇒★どちらも 「正しく 測れて しまった」★＝★測る 先が 違った★
#   ⇒★記憶「数字が 全部 緑でも 絵を 開いて 見るまで OK を 出すな」が 効きました★
#
# ★★測って いない 事★★
#   ・★繋げたマスが 絵で 繋がって 見えるか★は ★未確認★
#     （字が 右へ はみ出して いるだけかも しれない＝見分けが 付きません）
#   ・★行の 高さ★は 材料に 入って いません（`rowH` は 空）
#   ・★字の 大きさ・書体★は この 材料では 変えて いません
#   ・★実Excel の 絵と 並べて 比べて いません★（実Excel の 画面の 写しが 無い）
