# ★ODDF の 残り 1本 と ODDL の 6本を 実Excel に 聞いた★（2026-09-18）
#
# ★問いは 紙から 機械で 拾いました★ ... kansuu46/oddf-nokori-1pon-kiku-koto.md
# ★材料は 要りません★（全部 その場の 日付）
#
# ★どの Excel か★ ... 版 16.0 ／ build 20326
# ★どの 貝殻か★ ... PowerShell 5.1.26100.9278
# ★どの 文字コードか★ ... ANSI 932 ／ ja-JP
#
# 番	式	答え	出る字	型
1	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045, 0.05, 100, 4, 1)	96.1767213744142	96.17672	Double
2	=COUPDAYS(DATE(2009,3,10), DATE(2015,2,28), 4, 1)	89	89	Double
3	=COUPDAYBS(DATE(2009,3,10), DATE(2015,2,28), 4, 1)	10	10	Double
4	=COUPPCD(DATE(2009,3,10), DATE(2015,2,28), 4, 1)	39872	39872	Double
5	=COUPNCD(DATE(2009,3,10), DATE(2015,2,28), 4, 1)	39964	39964	Double
6	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045,0.05,100,4,1)	96.1767213744142	96.17672	Double
7	=ODDFPRICE(DATE(2009,3,10), DATE(2015,5,31), DATE(2008,12,5), DATE(2009,8,31), 0.045,0.05,100,4,1)	96.086101052530168	96.0861	Double
8	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,27), DATE(2008,12,5), DATE(2009,8,31), 0.045,0.05,100,4,1)	-2146826252	#NUM!	Other
9	=ODDFPRICE(DATE(2009,3,10), DATE(2016,2,29), DATE(2008,12,5), DATE(2009,8,31), 0.045,0.05,100,4,1)	95.8208976259601	95.8209	Double
10	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,30), 0.045,0.05,100,4,1)	-2146826252	#NUM!	Other
11	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,15), 0.045,0.05,100,4,1)	-2146826252	#NUM!	Other
12	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045,0.05,100,4,0)	96.1769918250776	96.17699	Double
13	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045,0.05,100,4,2)	96.149236451602036	96.14924	Double
14	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045,0.05,100,4,3)	96.166556309003852	96.16656	Double
15	=ODDFPRICE(DATE(2009,3,10), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045,0.05,100,4,4)	96.178866685142225	96.17887	Double
16	=ODDFPRICE(DATE(2009,3,1), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045,0.05,100,4,1)	96.168557409485757	96.16856	Double
17	=ODDFPRICE(DATE(2009,3,11), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045,0.05,100,4,1)	96.177637351996381	96.17764	Double
18	=ODDFPRICE(DATE(2009,5,31), DATE(2015,2,28), DATE(2008,12,5), DATE(2009,8,31), 0.045,0.05,100,4,1)	97.488024305137415	97.48802	Double
19	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100, 4,0)	99.765199612696492	99.7652	Double
20	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100, 4,1)	99.776476358001872	99.77648	Double
21	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100, 4,2)	99.776476358001872	99.77648	Double
22	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100, 4,3)	99.776476358001872	99.77648	Double
23	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 0.05, 100, 4,4)	99.767345276872959	99.76735	Double
24	=ODDLYIELD(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 99.5, 100, 4,0)	0.055713099118594962	0.055713	Double
25	=ODDLYIELD(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 99.5, 100, 4,1)	0.055952178920546491	0.055952	Double
26	=ODDLYIELD(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 99.5, 100, 4,2)	0.055952178920546491	0.055952	Double
27	=ODDLYIELD(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 99.5, 100, 4,3)	0.055952178920546491	0.055952	Double
28	=ODDLYIELD(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045, 99.5, 100, 4,4)	0.055817415033490442	0.055817	Double
29	=ODDLPRICE(DATE(2008,2,7), DATE(2008,6,15), DATE(2007,10,15), 0.0375, 0.0405, 100, 2,0)	99.87828601472134	99.87829	Double
30	=ODDLPRICE(DATE(2008,2,7), DATE(2008,6,15), DATE(2007,10,15), 0.0375, 0.0405, 100, 2,1)	99.879167681529111	99.87917	Double
31	=ODDLPRICE(DATE(2008,2,7), DATE(2008,6,15), DATE(2007,10,15), 0.0375, 0.0405, 100, 2,2)	99.879167681529111	99.87917	Double
32	=ODDLPRICE(DATE(2008,2,7), DATE(2008,6,15), DATE(2007,10,15), 0.0375, 0.0405, 100, 2,3)	99.879167681529111	99.87917	Double
33	=ODDLPRICE(DATE(2008,2,7), DATE(2008,6,15), DATE(2007,10,15), 0.0375, 0.0405, 100, 2,4)	99.87828601472134	99.87829	Double
34	=COUPDAYS(DATE(2009,3,10), DATE(2009,8,31), 4, 0)	90	90	Double
35	=COUPDAYBS(DATE(2009,3,10), DATE(2009,8,31), 4, 0)	10	10	Double
36	=COUPNUM(DATE(2009,3,10), DATE(2009,8,31), 4)	2	2	Double
37	=COUPPCD(DATE(2009,3,10), DATE(2009,8,31), 4)	39872	39872	Double
38	=COUPNCD(DATE(2009,3,10), DATE(2009,8,31), 4)	39964	39964	Double
39	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045,0.05,100,4,0)	99.765199612696492	99.7652	Double
40	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,30), DATE(2008,11,30), 0.045,0.05,100,4,0)	99.765199612696492	99.7652	Double
41	=ODDLPRICE(DATE(2009,3,10), DATE(2009,9,15), DATE(2008,11,30), 0.045,0.05,100,4,0)	99.7154746918912	99.71547	Double
42	=ODDLPRICE(DATE(2009,5,30), DATE(2009,8,31), DATE(2008,11,30), 0.045,0.05,100,4,0)	99.87648188803513	99.87648	Double
43	=ODDLPRICE(DATE(2009,5,31), DATE(2009,8,31), DATE(2008,11,30), 0.045,0.05,100,4,0)	99.863981888035141	99.86398	Double
44	=ODDLPRICE(DATE(2009,6,1), DATE(2009,8,31), DATE(2008,11,30), 0.045,0.05,100,4,0)	99.878000205846021	99.878	Double
45	=ODDLPRICE(DATE(2009,7,15), DATE(2009,8,31), DATE(2008,11,30), 0.045,0.05,100,4,0)	99.948638340466658	99.94864	Double
46	=ODDLPRICE(DATE(2009,3,10), DATE(2009,5,31), DATE(2008,11,30), 0.045,0.05,100,4,0)	99.901977860226324	99.90198	Double
47	=ODDLPRICE(DATE(2009,3,10), DATE(2009,11,30), DATE(2008,11,30), 0.045,0.05,100,4,0)	99.632270141087318	99.63227	Double
48	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0.045,0,100,4,0)	102.1471590909091	102.1472	Double
49	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0,0.05,100,4,0)	97.696364140993609	97.69636	Double
50	=ODDLPRICE(DATE(2009,3,10), DATE(2009,8,31), DATE(2008,11,30), 0,0,100,4,0)	100	100	Double
# ★★押すのに かかった 秒 ... 1.01★★
